state,street-address,extended-address,locality,type,value
Alabama,21282 Athens-Limestone Blvd,,"Athens, AL",Roadside Assistance,(877) 798-3752
Alabama,2221 Richard Arrington Junior Blvd,,"Birmingham, AL 35203-1103",Roadside Assistance,(877) 798-3752
