charging_station_name,city,state,zipcode,street_address
"Costa Mesa, CA (coming soon)",CA,No zipcode,No address given,Costa Mesa
Crescent City Supercharger,CA,95531,1000 Front Street,Crescent City
Culver City Supercharger,CA,90230,6000 Sepulveda Blvd.,Culver City
"Cupertino, CA Supercharger",No state,95014-0000,19500 Vallco Parkway,Cupertino
"Daly City, CA Supercharger",CA,94015,3 Serramonte Center,Daly City
"Dana Point, CA (coming soon)",CA,No zipcode,No address given,Dana Point
"Davis, CA (coming soon)",CA,No zipcode,No address given,Davis
"Downey, CA - Lakewood Boulevard Supercharger",CA,90240-3307,9500 Lakewood Boulevard,Downey
"Downey, CA - Stonewood Street Supercharger",CA,90241,251 Stonewood Street,Downey
Dublin-Amador Plaza,CA,94568,6701 Amador Plaza Road,Dublin
"East Palo Alto, CA Supercharger",CA,94303,1771 East Bayshore Road,Palo Alto
"El Cajon, CA (coming soon)",CA,No zipcode,No address given,El Cajon
El Centro Supercharger,CA,92243,3551 S Dogwood Rd,El Centro
"El Cerrito, CA (coming soon)",CA,No zipcode,No address given,El Cerrito
"El Cerrito, CA Supercharger",CA,94530,280 El Cerrito Plaza,El Cerrito
"Elk Grove, CA - Elk Grove Blvd Supercharger",CA,95758,8451 Elk Grove Boulevard,Elk Grove
"Emeryville, CA (coming soon)",CA,No zipcode,No address given,Emeryville
"Emeryville, CA - Powell Street Plaza Supercharger",CA,94608,5795 Christie Avenue,Emeryville
"Escondido, CA (coming soon)",CA,No zipcode,No address given,Escondido
Eureka Supercharger,CA,95501,3300 Broadway St.,Eureka
"Fairfield, CA - Holiday Lane Supercharger",CA,94534,1350 Holiday Lane,Fairfield
"Fairfield, CA - Travis Blvd Supercharger",CA,94533-3432,1350 Travis Blvd,Fairfield
"Firebaugh, CA Supercharger",CA,93622,46272 West Panoche Road,Firebaugh
Fish Camp Supercharger,CA,93623,1122 Highway 41,Fish Camp
"Folsom, CA - Iron Point Road Supercharger",CA,95630,220 Iron Point Rd,Folsom
"Folsom, CA - Palladio Parkway Supercharger",CA,95630,220 Palladio Parkway,Folsom
"Fontana, CA Supercharger",CA,92336,152234 Summit Avenue,Fontana
Fountain Valley Supercharger,CA,92708,17940 Newhope St,Fountain Valley
Fremont,CA,94538,45500 Fremont Blvd,Fremont
"Fremont, CA - 39201 Fremont Blvd Supercharger",CA,94538-1301,39201 Fremont Blvd,Fremont
Fresno Supercharger,CA,93722,6709 N Riverside Dr,Fresno
"Fresno, CA (coming soon)",CA,No zipcode,No address given,Fresno
"Gilroy, CA Supercharger",CA,95020,Gilroy Premium Outlets,Gilroy
"Glendale, CA Supercharger",CA,91210,899 Americana Way,Glendale
"Goleta, CA Supercharger",CA,93117,7004 Marketplace Drive,Goleta
"Greenville, CA (coming soon)",CA,No zipcode,No address given,Greenville
Groveland Supercharger,CA,95321,11875 Ponderosa Lane,Groveland
Gustine Supercharger,CA,95322,12411 CA-33,Gustine
"Half Moon Bay, CA (coming soon)",CA,No zipcode,No address given,Half Moon Bay
Harris Ranch Supercharger,CA,93210,24505 W Dorris Ave,Coalinga
"Hawthorne, CA - El Segundo Boulevard Supercharger",CA,90250,4427 West El Segundo Boulevard,Hawthorne
"Hawthorne, CA - West 120th Street Supercharger",CA,90250,2700 West 120th Avenue,Hawthorne
"Hayward, CA Supercharger",CA,94541,19661 Hesperian Boulevard,Hayward
"Hermosa Beach, CA Supercharger",CA,90254,710 16th St.,Hermosa Beach
"Hesperia, CA (coming soon)",CA,No zipcode,No address given,Hesperia
"Highland, CA (coming soon)",CA,No zipcode,No address given,Highland
"Hollister, CA Supercharger",CA,95023-9541,10021 Pacheco Pass Hwy,Hollister
"Hollywood, CA (coming soon)",CA,No zipcode,No address given,Hollywood
"Huntington Beach, CA (coming soon)",CA,No zipcode,No address given,Huntington Beach
Indio Supercharger,CA,92203,42100 Jackson St,Indio
"Indio, CA (coming soon)",CA,No zipcode,No address given,Indio
Inyokern Supercharger,CA,93527,1353 Brown Road,Inyokern
"Irvine, CA (coming soon)",CA,No zipcode,No address given,Irvine
"Irvine, CA - Michelson Drive Supercharger",CA,92612-0626,3021 Michelson Drive,Irvine
"Jackson, CA Supercharger",CA,95642,31 CA-88,Jackson
"Kettleman City, CA Supercharger",CA,93239,27675 Bernard Drive,Kettleman City
"Kramer Junction, CA (coming soon)",CA,No zipcode,No address given,Kramer Junction
"Lake Elsinore, CA Supercharger",CA,92530,17600 Collier Avenue,Lake Elsinore
"Lakewood, CA (coming soon)",CA,No zipcode,No address given,Lakewood
"Laytonville, CA Supercharger",CA,95454-9049,45020 N US Highway 101,Laytonville
